file	line	word	matched_stem	before_10	after_10
/home/maxime/Projects/dspy/docs/docs/learn/programming/tools.md	198	use_native_function_calling	function	True JSONAdapter with native function calling disabled json_adapter_manual dspy JSONAdapter	False Configure DSPy to use the adapter dspy configure lm
/home/maxime/Projects/dspy/docs/docs/learn/programming/tools.md	205	function	function	being used If you use JSONAdapter or ChatAdapter with native	calling enabled on the code snippet as provided in the
/home/maxime/Projects/dspy/docs/docs/learn/programming/tools.md	206	function	function	section above tools md basic setup you should see native	calling arg tools is set like the screenshot below native
/home/maxime/Projects/dspy/docs/docs/learn/programming/tools.md	214	function	function	below native tool calling figures native_tool_call png Model Compatibility Native	calling automatically detects model support using litellm supports_function_calling If the
/home/maxime/Projects/dspy/docs/docs/learn/programming/tools.md	214	supports_function_calling	function	Compatibility Native function calling automatically detects model support using litellm	If the model doesn't support native function calling DSPy will
/home/maxime/Projects/dspy/docs/docs/learn/programming/tools.md	214	function	function	support using litellm supports_function_calling If the model doesn't support native	calling DSPy will fall back to manual text based parsing
/home/maxime/Projects/dspy/docs/docs/learn/programming/tools.md	214	use_native_function_calling	function	will fall back to manual text based parsing even when	True is set Async Tools DSPy tools support both synchronous
/home/maxime/Projects/dspy/docs/docs/learn/programming/tools.md	218	functions	function	set Async Tools DSPy tools support both synchronous and asynchronous	When working with async tools you have two options Using
/home/maxime/Projects/dspy/docs/docs/learn/programming/tools.md	264	Function	function	tool city New York print result Best Practices 1 Tool	Design Clear docstrings Tools work better with descriptive documentation Type
/home/maxime/Projects/dspy/docs/docs/learn/programming/tools.md	304	function	function	want to minimize the latency Your tool returns nothing void	Tools in DSPy provide a powerful way to extend language
/home/maxime/Projects/dspy/docs/docs/roadmap.md	23	functionality	function	releases will have the following objectives 1 Polishing the core	2 Developing more accurate lower cost optimizers 3 Building end
/home/maxime/Projects/dspy/docs/docs/roadmap.md	52	functionality	function	Haq IIT B Ashutosh Sharma UIUC 1 Polishing the core	Over the next month polishing is the main objective and
/home/maxime/Projects/dspy/docs/docs/roadmap.md	74	function	function	i non plaintext LM interfaces like chat APIs structured outputs	calling and multi modal APIs ii languages beyond English or
/home/maxime/Projects/dspy/docs/docs/tutorials/ai_text_game/index.md	13	functionality	function	choices Inventory and character progression systems Save load game state	Setup bash pip install dspy rich typer Step 1 Core
/home/maxime/Projects/dspy/docs/docs/tutorials/ai_text_game/index.md	556	function	function	typer prompt nPress Enter to continue def main Main game	while game running if game state GameState MENU choice main_menu
/home/maxime/Projects/dspy/docs/docs/tutorials/async/index.md	76	functions	function	with Async Tools DSPy's Tool class seamlessly integrates with async	When you provide an async function to dspy Tool you
/home/maxime/Projects/dspy/docs/docs/tutorials/async/index.md	77	function	function	seamlessly integrates with async functions When you provide an async	to dspy Tool you can execute it using acall This
/home/maxime/Projects/dspy/docs/docs/tutorials/async/index.md	92	function	function	f I get x Create a tool from the async	tool dspy Tool foo async def main Execute the tool
/home/maxime/Projects/dspy/docs/docs/tutorials/cache/index.md	92	function	function	the in memory cache DSPy provides the dspy configure_cache utility	for this purpose You can use the corresponding flags to
/home/maxime/Projects/dspy/docs/docs/tutorials/core_development/index.md	3	functionalities	function	practices for professional AI development Learn how to implement key	like streaming caching deployment and monitoring in your DSPy applications
/home/maxime/Projects/dspy/docs/docs/tutorials/deployment/index.md	92	function	function	DSPy program as server sent events we've included a helper	for that which is equivalent to the code above from
/home/maxime/Projects/dspy/docs/docs/tutorials/deployment/index.md	150	function	function	MLflow server This is done via the mlflow dspy log_model	please see the code below NOTE As of MLflow 2
/home/maxime/Projects/dspy/docs/docs/tutorials/email_extraction/index.md	215	function	function	4 Running the Email Processing System Let's create a simple	to test our email processing system python import os def
/home/maxime/Projects/dspy/docs/docs/tutorials/index.md	12	functionalities	function	DSPy features and best practices Learn how to implement key	like streaming caching deployment and monitoring in your DSPy applications
/home/maxime/Projects/dspy/docs/docs/tutorials/llms_txt_generation/index.md	109	functions	function	structure structure_analysis Step 3 Gather Repository Information Let's create helper	to extract repository information python import requests import os from
/home/maxime/Projects/dspy/docs/docs/tutorials/mcp/index.md	453	functionality	function	with MCP tools giving you the flexibility to implement any	you need
/home/maxime/Projects/dspy/docs/docs/tutorials/observability/index.md	149	function's	function	your workflow For example the screenshot above shows the retrieve	input and output By inspecting the retriever's output you can
/home/maxime/Projects/dspy/docs/docs/tutorials/observability/index.md	152	function	function	the issue of outdated information you can replace the retrieve	with a web search tool powered by Tavily search https
/home/maxime/Projects/dspy/docs/docs/tutorials/output_refinement/best-of-n-and-refine.md	49	functionality	function	an error after the first failure Refine Refine extends the	of BestOfN by adding an automatic feedback loop After each
/home/maxime/Projects/dspy/docs/docs/tutorials/sample_code_generation/index.md	107	functions	function	patterns key_methods list str dspy OutputField desc Important methods and	installation_info str dspy OutputField desc Installation and setup information code_examples
/home/maxime/Projects/dspy/docs/docs/tutorials/sample_code_generation/index.md	318	Function	function	Examples streamlit_examples generate_examples_for_library streamlit_info Streamlit Step 4 Interactive Library Learning	python def learn_any_library library_name str documentation_urls list str use_cases list
/home/maxime/Projects/dspy/docs/docs/tutorials/saving/index.md	117	function	function	program later Under the hood this uses cloudpickle's cloudpickle register_pickle_by_value	to register a module as picklable by value When a
